"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"CL32A106KAULNNE","Samsung Electro-Mechanics","1276-1854-1-ND","C34 (TOP)","","Cut Tape (CT)","Active","1","0.51000","$0.51","1661950","28 Weeks","CAP CER 10UF 25V X5R 1210","ROHS3 Compliant","Lead free","REACH Unaffected"
"0603N180J500CT","Walsin Technology Corporation","1292-1494-1-ND","C4, C5, C7, C8 (BOTTOM)","","Cut Tape (CT)","Active","4","0.14000","$0.56","198340","27 Weeks","CAP CER 18PF 50V C0G/NP0 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"MCP4822-E/MS","Microchip Technology","MCP4822-E/MS-ND","U$1, U$2   (TOP)","Package SOP65P490X110-8N","Tube","Active","2","4.58000","$9.16","0","24 Weeks","IC DAC 12BIT V-OUT 8MSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"TL074CDT","STMicroelectronics","497-2204-1-ND","IC1, IC5 (TOP)","SO 14","Cut Tape (CT)","Active","2","0.65000","$1.30","44196","30 Weeks","IC OPAMP JFET 4 CIRCUIT 14SO","ROHS3 Compliant","Lead free","REACH Unaffected"
"MCP6004T-I/ST","Microchip Technology","MCP6004T-I/STCT-ND","","","Cut Tape (CT)","Active","5","0.64000","$3.20","0","10 Weeks","IC OPAMP GP 4 CIRCUIT 14TSSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"M20-9960445","Harwin Inc.","952-3286-ND","","","Bulk","Active","25","0.35200","$8.80","23262","12 Weeks","CONN HEADER R/A 4POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"BLM21SP601SN1D","Murata Electronics","490-18595-1-ND","F1, F2 (BOTTOM)","","Cut Tape (CT)","Active","2","0.37000","$0.74","846","16 Weeks","FERRITEBEAD SMD Z100MHZ=600OHM 2","ROHS3 Compliant","Lead free","Not Available"
"MC7805BDTRKG","ON Semiconductor","MC7805BDTRKGOSCT-ND","REGULATOR (TOP)","Package TO220V","Cut Tape (CT)","Active","1","0.86000","$0.86","5416","30 Weeks","IC REG LINEAR 5V 1A DPAK","ROHS3 Compliant","Lead free","REACH Unaffected"
"T55A226M004C0200","Vishay Sprague","718-1995-1-ND","C39, C42 (BOTTOM)","","Cut Tape (CT)","Active","2","0.94000","$1.88","3195","52 Weeks","CAP TANT POLY 22UF 4V 1206","ROHS3 Compliant","Lead free","Not Available"
"CL10B104KB8NNNL","Samsung Electro-Mechanics","1276-CL10B104KB8NNNLCT-ND","C14, C16, C17, C18, C19, C20, C27, C29, C30, C44","C46, C57 BOTTOM","Cut Tape (CT)","Active","12","0.04100","$0.49","2931962","28 Weeks","CAP CER 0.1UF 50V X7R 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL10B102KB8NNNC","Samsung Electro-Mechanics","1276-1018-1-ND","C49, C50, C53, C54","","Cut Tape (CT)","Active","4","0.14000","$0.56","1971056","28 Weeks","CAP CER 1000PF 50V X7R 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL10A105KA8NNNC","Samsung Electro-Mechanics","1276-1102-1-ND","C43 (BOTTOM), C45","","Cut Tape (CT)","Active","2","0.14000","$0.28","2268784","28 Weeks","CAP CER 1UF 25V X5R 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL10B221KB8NFNC","Samsung Electro-Mechanics","1276-1986-1-ND","C9, C10","","Cut Tape (CT)","Active","2","0.14000","$0.28","213467","28 Weeks","CAP CER 220PF 50V X7R 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"CR0603AFX-1001ELF","Bourns Inc.","118-CR0603AFX-1001ELFCT-ND","R12, R13, R22, R27, R32, R38","","Cut Tape (CT)","Active","6","0.15000","$0.90","0","14 Weeks","RESISTOR AEC -Q200","ROHS3 Compliant","Not Available","Not Available"
"RC0603FR-07200KL","Yageo","311-200KHRCT-ND","R3, R39, R40, R41 TOP","","Cut Tape (CT)","Active","4","0.15000","$0.60","458779","20 Weeks","RES SMD 200K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603FR-07220RL","Yageo","311-220HRCT-ND","R33 (BOTTOM)","","Cut Tape (CT)","Active","1","0.15000","$0.15","2175926","20 Weeks","RES SMD 220 OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"CRGCQ0603J22K","TE Connectivity Passive Product","A130099CT-ND","R4, R5, (BOTTOM)","","Cut Tape (CT)","Active","2","0.15000","$0.30","40307","19 Weeks","CRGCQ 0603 22K 5%","RoHS Compliant","Lead free","Not Available"
"RC0603FR-073K3L","Yageo","311-3.30KHRCT-ND","R8, R9 (BOTTOM)","","Cut Tape (CT)","Active","2","0.15000","$0.30","760242","20 Weeks","RES SMD 3.3K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603FR-0733KL","Yageo","311-33.0KHRCT-ND","R18, R23, R28, R34 (TOP)","","Cut Tape (CT)","Active","4","0.15000","$0.60","366373","20 Weeks","RES SMD 33K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"CRGCQ0603F39K","TE Connectivity Passive Product","A129707CT-ND","R1, R2, R10, R11 (BOTTOM)","","Cut Tape (CT)","Active","4","0.15000","$0.60","12761","19 Weeks","CRGCQ 0603 39K 1%","RoHS Compliant","Lead free","Not Available"
"ERJ-3EKF4992V","Panasonic Electronic Components","P49.9KHCT-ND","R19, R24, R29, R35 (TOP)","","Cut Tape (CT)","Active","4","0.15000","$0.60","21857","29 Weeks","RES SMD 49.9K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"CRGCQ0603F5K6","TE Connectivity Passive Product","A129697CT-ND","R6, R7, R14, R15, R16, R17","Bottom","Cut Tape (CT)","Active","6","0.15000","$0.90","19398","19 Weeks","CRGCQ 0603 5K6 1%","RoHS Compliant","Lead free","Not Available"
"RK73H1JTTD6652F","KOA Speer Electronics, Inc.","2019-RK73H1JTTD6652FCT-ND","R46, R47, R58, R59   (BOTTOM)","","Cut Tape (CT)","Active","4","0.15000","$0.60","0","7 Weeks","RES 66.5K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ADP7118AUJZ-R7","Analog Devices Inc.","ADP7118AUJZ-R7CT-ND","IC 7(BOTTOM)","","Cut Tape (CT)","Active","1","3.50000","$3.50","9009","12 Weeks","IC REG LIN POS ADJ 200MA TSOT23","ROHS3 Compliant","Lead free","REACH Unaffected"
"MCP3204T-CI/SL","Microchip Technology","MCP3204T-CI/SLCT-ND","U2 (TOP)","","Cut Tape (CT)","Active","1","4.84000","$4.84","210","34 Weeks","IC ADC 12BIT SAR 14SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"AS-12.000-18-SMD-TR","Raltron Electronics","2151-AS-12.000-18-SMD-TRCT-ND","Q1 (BOTTOM)","","Cut Tape (CT)","Active","1","0.28000","$0.28","128","8 Weeks","CRYSTAL 12.0000MHZ 18PF SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"1N5819HW-7-F","Diodes Incorporated","1N5819HW-FDICT-ND","D1, D2 (BOTTOM)","","Cut Tape (CT)","Active","2","0.60000","$1.20","0","52 Weeks","DIODE SCHOTTKY 40V 1A SOD123","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF0603FT100K","Stackpole Electronics Inc","RMCF0603FT100KCT-ND","R20, R21, R25, R26, R30, R31, R36, R37 (TOP)","","Cut Tape (CT)","Active","8","0.15000","$1.20","4588985","21 Weeks","RES 100K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL21A106MQFNNNE","Samsung Electro-Mechanics","1276-1298-1-ND","C2, C3, C11, C12, C13, C15, C23, C24, C25, C31","C40,","Cut Tape (CT)","Active","12","0.11200","$1.34","1263","28 Weeks","CAP CER 10UF 6.3V X5R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"LM4040D25FTA","Diodes Incorporated","LM4040D25FCT-ND","U1 (BOTTOM)","","Cut Tape (CT)","Active","1","0.74000","$0.74","189842","44 Weeks","IC VREF SHUNT 1% SOT23","ROHS3 Compliant","Lead free","REACH Unaffected"
"ESK108M025AH4EA","KEMET","399-6652-1-ND","","","Cut Tape (CT)","Active","2","0.74000","$1.48","2128","24 Weeks","CAP ALUM 1000UF 20% 25V RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
